LOCATION_ID,PLACEKEY,LOCATION,CITY,REGION,ISO_COUNTRY_CODE,COUNTRY
2221,227-222@5x4-4vz-wff,Beacon Alterations,Seattle,WA,US,United States
2257,227-223@5x4-48c-wp9,Nathan Hale Playfield,Seattle,WA,US,United States
2270,227-224@5x4-4fs-dsq,Rider Oasis,Seattle,WA,US,United States
2271,227-224@5x4-4ny-835,NW Caravan Treasures,Seattle,WA,US,United States
2272,227-224@5x4-4vz-6zf,Emeritus at West Seattle,Seattle,WA,US,United States
2290,227-228@5x4-4vz-6zf,Meril Gardens,Seattle,WA,US,United States
2294,227-22q@5x4-4vy-t9z,Creative Date,Seattle,WA,US,United States
2317,228-222@5x4-4b5-j35,American Civil Liberties Union,Seattle,WA,US,United States
2318,228-222@5x4-4b5-jd9,Queen Anne,Seattle,WA,US,United States
2319,228-222@5x4-4nz-zj9,Lake City Young People,Seattle,WA,US,United States
2321,228-222@5x4-4vt-6kz,Waterfall Garden,Seattle,WA,US,United States
2322,228-222@5x4-4vt-6p9,Seattle Metropolitan Police Museum,Seattle,WA,US,United States
2323,228-222@5x4-4w2-5cq,Army National Guard Recruiting,Seattle,WA,US,United States
2353,228-223@5x4-4b2-7dv,Gerberding Hall,Seattle,WA,US,United States
2354,228-223@5x4-4b5-jd9,Merrill Gardens at Queen Anne,Seattle,WA,US,United States
2355,228-223@5x4-4g3-wc5,Walrus Machine,Seattle,WA,US,United States
2356,228-223@5x4-4vt-5j9,Amasia College,Seattle,WA,US,United States
2413,229-222@5x4-47t-rzf,Diane's Alterations and Tailoring,Seattle,WA,US,United States
2414,229-222@5x4-49j-dqf,Spring Manor,Seattle,WA,US,United States
2415,229-222@5x4-49x-nt9,Center For Autism Rehabilitation & Evaluation,Seattle,WA,US,United States
2416,229-222@5x4-4b3-qmk,Swansons Shoe Repair,Seattle,WA,US,United States
2418,229-222@5x4-4d7-yn5,HomeWell Senior Care,Seattle,WA,US,United States
2419,229-222@5x4-4qp-k4v,Pleasant Adult Family Home,Seattle,WA,US,United States
2420,229-222@5x4-4xr-2rk,United Machine Shop Service,Seattle,WA,US,United States
2440,229-223@5x4-4b5-jd9,Campana Quetzal,Seattle,WA,US,United States
2482,22b-222@5x4-48f-xyv,University House Resident Council,Seattle,WA,US,United States
2483,22b-222@5x4-49z-vs5,Always Perfect Yacht Interiors,Seattle,WA,US,United States
2484,22b-222@5x4-4w2-49z,Stonepath Logistics Int'l Svcs,Seattle,WA,US,United States
2485,22b-222@5x4-4xk-389,Champion Small Engine Repair,Seattle,WA,US,United States
2555,22c-222@5x4-489-wx5,Spada Homes,Seattle,WA,US,United States
2556,22c-222@5x4-4b5-59f,Tim's DCS Repair Service,Seattle,WA,US,United States
2558,22c-222@5x4-4qw-jjv,Espresso Repair Experts,Seattle,WA,US,United States
2559,22c-222@5x4-4w2-4sq,Western Safety Products Inc,Seattle,WA,US,United States
2586,22c-223@5x4-48h-6ff,Green Lake Pitch n' Putt,Seattle,WA,US,United States
2587,22c-223@5x4-49j-jy9,Filipino American National Historical Society,Seattle,WA,US,United States
2625,22d-222@5x4-48g-mzf,Edward's Refrigerator Repair Service,Seattle,WA,US,United States
2626,22d-222@5x4-4b7-dgk,Antioch University Seattle,Seattle,WA,US,United States
2627,22d-222@5x4-4fy-7h5,Pearly Jones Home,Seattle,WA,US,United States
2628,22d-222@5x4-4r4-2zf,Race Recycling and Compacting Equipment,Seattle,WA,US,United States
2629,22d-222@5x4-4vz-ghq,A & J Commissary,Seattle,WA,US,United States
2630,22d-222@5x4-4xd-d5f,Mr. Appliance,Seattle,WA,US,United States
2659,22d-223@5x4-4b2-w8v,Sub Zero Quality Prime Repair,Seattle,WA,US,United States
2696,22f-222@5x4-4ft-st9,Ballard Sails,Seattle,WA,US,United States
2720,22f-223@5x4-4b5-4sq,Sole Repair,Seattle,WA,US,United States
2734,22f-22r@5x4-4b6-6tv,Seattle Interactive Media Museum,Seattle,WA,US,United States
2758,22g-222@5x4-47t-k9f,Sutherland Cooktop Repair,Seattle,WA,US,United States
2759,22g-222@5x4-48f-xh5,Northwest Blind Repair,Seattle,WA,US,United States
2760,22g-222@5x4-4fr-zj9,American Freestyle Alterations,Seattle,WA,US,United States
2761,22g-222@5x4-4r2-pn5,Upholstery Outfitters of Seattle,Seattle,WA,US,United States
2762,22g-222@5x4-4vq-ghq,Budget Blinds of West Seattle & Central South,Seattle,WA,US,United States
2782,22g-224@5x4-4vt-3wk,Seattle Drug Rehab,Seattle,WA,US,United States
2786,22g-226@5x4-4b3-qmk,Seattle Sub Zero Repair,Seattle,WA,US,United States
2800,22h-222@5x4-4b4-66k,ARS Appliance Repair Service,Seattle,WA,US,United States
2822,22h-22b@5x4-48j-q2k,Dick Paetzke Creative Directions,Seattle,WA,US,United States
2837,22j-222@5x4-4b5-33q,Magnolia Care,Seattle,WA,US,United States
2838,22j-222@5x4-4b8-dd9,Simply Frames & Miner Gallery,Seattle,WA,US,United States
2840,22j-222@5x4-4fy-z4v,Jim's Cobbler Shoppe,Seattle,WA,US,United States
2841,22j-222@5x4-4vz-y5f,Casa Bella Home Care Services,Seattle,WA,US,United States
2842,22j-222@5x4-4xq-x89,Florence of Seattle,Seattle,WA,US,United States
2884,22k-222@5x4-47t-rp9,Thrifty Janitorial,Seattle,WA,US,United States
2885,22k-222@5x4-4xq-ch5,Aquarist World,Seattle,WA,US,United States
2903,22k-223@5x4-48h-brk,Ridge Custom Upholstery,Seattle,WA,US,United States
2904,22k-223@5x4-4nx-kzz,Hunger Intervention Program,Seattle,WA,US,United States
2921,22m-222@5x4-49x-47q,Sacred Garden Healing Center,Seattle,WA,US,United States
2922,22m-222@5x4-4vs-qxq,Underground Paranormal Experience,Seattle,WA,US,United States
2924,22m-222@5x4-4vt-3t9,Columbia Tower Club,Seattle,WA,US,United States
2964,22n-222@5x4-4w9-9zz,Jenny Manes Premier Bridal Design & Alterations,Seattle,WA,US,United States
3001,22p-222@5x4-4b4-tqf,Martha's Garden,Seattle,WA,US,United States
3002,22p-222@5x4-4vt-6kz,Klondike Gold Rush National Historical Park Seattle Unit,Seattle,WA,US,United States
3003,22p-222@5x4-4vw-sdv,Dragonfly Pavilion,Seattle,WA,US,United States
3021,22p-228@5x4-4b8-p7q,Kitchen Repair Specialists,Seattle,WA,US,United States
3032,22q-222@5x4-48f-zcq,Village Shoe Repair,Seattle,WA,US,United States
3033,22q-222@5x4-4b5-bzf,Peoples Computer Museum,Seattle,WA,US,United States
3054,22r-222@5x4-48f-vj9,Woodland Park Off Leash Area,Seattle,WA,US,United States
3055,22r-222@5x4-4r5-qj9,South Bark Dog Park,Seattle,WA,US,United States
3076,22s-222@5x4-49z-2zf,Superb Custom Tailors,Seattle,WA,US,United States
3082,22s-223@5x4-4b2-psq,Roanoke Park Watch Repair,Seattle,WA,US,United States
3100,22t-223@5x4-49j-whq,Reel Grrls,Seattle,WA,US,United States
3101,22t-223@5x4-4b6-52k,Puget Sound,Seattle,WA,US,United States
3108,22t-226@5x4-489-975,Can't Look Away The Lure of Horror Film Exhibit,Seattle,WA,US,United States
3116,22v-222@5x4-4fv-rff,Coffee Physics,Seattle,WA,US,United States
3117,22v-222@5x4-4w7-vmk,Cal Anderson Park and Bobby Morris Playfield,Seattle,WA,US,United States
3134,22w-222@5x4-4dd-kfz,Northpoint the Evergreen Northgate,Seattle,WA,US,United States
3166,22x-223@5x4-4dd-6kz,Weiskind's Appliance,Seattle,WA,US,United States
3196,232-222@5x4-4fw-8sq,Home Espresso Repair and Cafe,Seattle,WA,US,United States
3218,233-224@5x4-49j-nbk,Seattle Appliance Specialist,Seattle,WA,US,United States
3263,236-222@5x4-4b4-rx5,Metro Tailoring & Alterations,Seattle,WA,US,United States
3291,238-222@5x4-49x-rkz,Elite Vend,Seattle,WA,US,United States
3305,239-222@5x4-4b8-p7q,Broadway Shoe Repair,Seattle,WA,US,United States
3321,23b-223@5x4-4ny-835,Lake City Watch Repair,Seattle,WA,US,United States
3322,23b-223@5x4-4qy-y5f,Rainier Valley Historical Society,Seattle,WA,US,United States
3328,23c-222@5x4-4b5-h89,PAR3 Communications,Seattle,WA,US,United States
3339,23f-222@5x4-49z-yy9,Washington Huskies Football,Seattle,WA,US,United States
3363,23k-222@5x4-4vt-3t9,Busy Shoes Quality Shoe Repair,Seattle,WA,US,United States
3392,23s-222@5x4-48f-whq,Marine Corps Recruiting,Seattle,WA,US,United States
3396,23s-227@5x4-4fw-3kf,Thrive Center For Healing Traditions,Seattle,WA,US,United States
3421,23z-222@5x4-4b5-ks5,Court Furniture Rental,Seattle,WA,US,United States
3439,247-222@5x4-4vt-3wk,Connections,Seattle,WA,US,United States
3474,25s-222@5x4-4b6-6zf,American Cultural Exchange,Seattle,WA,US,United States
3485,26p-222@5x4-4b5-dvz,New Mark Tailor,Seattle,WA,US,United States
3490,27b-222@5x4-4b8-grk,Hilltop Appliance Repair,Seattle,WA,US,United States
3504,2bk-222@5x4-4b4-rx5,Uysal Alterations,Seattle,WA,US,United States
3505,2bm-222@5x4-4dc-m49,A Leg Up,Seattle,WA,US,United States
3644,zzw-222@5x4-487-p9z,Froula Playground,Seattle,WA,US,United States
3645,zzw-222@5x4-48f-5xq,Odyssey Sober Living,Seattle,WA,US,United States
3646,zzw-222@5x4-48h-fvf,Lower Woodland Park Playfields,Seattle,WA,US,United States
3647,zzw-222@5x4-49j-zfz,Wisteria Park,Seattle,WA,US,United States
3648,zzw-222@5x4-49k-7yv,Logan Field,Seattle,WA,US,United States
3649,zzw-222@5x4-49r-p5f,Mount Baker Park,Seattle,WA,US,United States
3650,zzw-222@5x4-49s-73q,Beacon Hill Playground,Seattle,WA,US,United States
3651,zzw-222@5x4-49y-yjv,West Queen Anne Playfield,Seattle,WA,US,United States
3652,zzw-222@5x4-49z-4n5,Interbay P Patch,Seattle,WA,US,United States
3654,zzw-222@5x4-4b4-9vf,Bedford Sub Zero Appliance Repair,Seattle,WA,US,United States
3655,zzw-222@5x4-4b4-xqz,City University Of Seattle,Seattle,WA,US,United States
3656,zzw-222@5x4-4b5-kmk,Drug Rehab and Sober Living Seattle,Seattle,WA,US,United States
3657,zzw-222@5x4-4b6-b8v,Queen Anne Upholstery and Refinishing,Seattle,WA,US,United States
3658,zzw-222@5x4-4b6-k9f,Wrench Bicycle Workshop,Seattle,WA,US,United States
3659,zzw-222@5x4-4b6-xh5,Myrtle Edwards Park,Seattle,WA,US,United States
3660,zzw-222@5x4-4b7-8n5,The Laser Dome,Seattle,WA,US,United States
3661,zzw-222@5x4-4b7-bkz,Seattle Children's Museum,Seattle,WA,US,United States
3662,zzw-222@5x4-4b8-26k,Washington Park Japanese Gdn,Seattle,WA,US,United States
3663,zzw-222@5x4-4b8-gff,Fred Lind Manor,Seattle,WA,US,United States
3664,zzw-222@5x4-4d8-ty9,Pacific Northwest Museum Of Motorcycling,Seattle,WA,US,United States
3665,zzw-222@5x4-4fr-5pv,Nordic Museum,Seattle,WA,US,United States
3666,zzw-222@5x4-4g2-28v,Kiwanis Ravine Overlook,Seattle,WA,US,United States
3668,zzw-222@5x4-4qg-z9f,Atlantic City Boat Ramp,Seattle,WA,US,United States
3669,zzw-222@5x4-4qh-94v,Rainier Beach Playfield,Seattle,WA,US,United States
3670,zzw-222@5x4-4qy-5xq,Lakewood Playfield,Seattle,WA,US,United States
3671,zzw-222@5x4-4r3-kpv,E C Hughes Playground,Seattle,WA,US,United States
3672,zzw-222@5x4-4ty-mc5,Alki Point Lighthouse Tours,Seattle,WA,US,United States
3673,zzw-222@5x4-4v5-zmk,Ercolini Park,Seattle,WA,US,United States
3674,zzw-222@5x4-4vr-brk,Luna Park Hoa,Seattle,WA,US,United States
3675,zzw-222@5x4-4vs-wrk,Chinese Community Bulletin Board,Seattle,WA,US,United States
3676,zzw-222@5x4-4vt-47q,University of Washington Virology Research Clinic,Seattle,WA,US,United States
3677,zzw-222@5x4-4vt-5s5,Solo Appliance Repair,Seattle,WA,US,United States
3678,zzw-222@5x4-4vv-dsq,The Seattle Great Wheel,Seattle,WA,US,United States
3679,zzw-222@5x4-4vv-dy9,Wings Over Washington,Seattle,WA,US,United States
3680,zzw-222@5x4-4w7-gkz,Monkey Fist Marine,Seattle,WA,US,United States
3681,zzw-222@5x4-4w7-j35,Smith Cove Park,Seattle,WA,US,United States
3682,zzw-222@5x4-4xn-6x5,Arroyos Natural Area,Seattle,WA,US,United States
3885,zzw-223@5x4-48h-fvf,Green Lake Small Craft Center,Seattle,WA,US,United States
3886,zzw-223@5x4-49c-3bk,National Oceanic and Atmospheric,Seattle,WA,US,United States
3887,zzw-223@5x4-49x-tqf,St Marks Greenbelt,Seattle,WA,US,United States
3889,zzw-223@5x4-4b5-nyv,Western Avenue Senior Housing,Seattle,WA,US,United States
3890,zzw-223@5x4-4b6-m49,The Prince From Minneapolis Exhibit,Seattle,WA,US,United States
3891,zzw-223@5x4-4fs-7wk,Hiram M Chittenden Locks,Seattle,WA,US,United States
3892,zzw-223@5x4-4qw-45f,Georgetown Powerplant Museum,Seattle,WA,US,United States
3893,zzw-223@5x4-4qw-n5z,Boyer Thermador Appliance Repair,Seattle,WA,US,United States
3894,zzw-223@5x4-4sq-h89,Arrowhead Gardens,Seattle,WA,US,United States
3895,zzw-223@5x4-4vt-54v,Presbyterian Retirement Communities Northwest,Seattle,WA,US,United States
3962,zzw-224@5x4-4b5-qs5,Athena University,Seattle,WA,US,United States
3963,zzw-224@5x4-4dd-m8v,Laura's Alteration & Tailor Express,Seattle,WA,US,United States
3964,zzw-224@5x4-4vs-kcq,Living Computer Museum,Seattle,WA,US,United States
3965,zzw-224@5x4-4vs-m8v,T Mobile Park,Seattle,WA,US,United States
4015,zzw-225@5x4-4ny-b8v,Lake City Mini Park,Seattle,WA,US,United States
4016,zzw-225@5x4-4vv-mx5,Centennial Park,Seattle,WA,US,United States
4045,zzw-226@5x4-48c-y9z,Elenvilla Alterations & Tailoring,Seattle,WA,US,United States
4046,zzw-226@5x4-48f-pqf,Als Music Video & Games,Seattle,WA,US,United States
4068,zzw-227@5x4-49w-y35,Westlake Square,Seattle,WA,US,United States
4069,zzw-227@5x4-4b7-bkz,Fisher Pavillion,Seattle,WA,US,United States
4087,zzw-228@5x4-4b5-f75,Pike Place Urban Garden,Seattle,WA,US,United States
4088,zzw-228@5x4-4b5-nqz,Bell Street Park Boulevard,Seattle,WA,US,United States
4121,zzw-22b@5x4-48d-bzf,The Watch & Jewelry Repair,Seattle,WA,US,United States
4122,zzw-22b@5x4-4b5-dd9,Leventhorp Behavioral,Seattle,WA,US,United States
4131,zzw-22c@5x4-4b5-4jv,Jimi Hendrix Statue,Seattle,WA,US,United States
4168,zzw-22n@5x4-4vt-3t9,Sky View Observatory,Seattle,WA,US,United States
4188,zzw-22w@5x4-4b5-d5f,Seattle Tower,Seattle,WA,US,United States
4221,zzw-24h@5x4-4b4-rhq,Amira Acne Solutions,Seattle,WA,US,United States
5147,zzy-222@5x4-47v-nnq,Laurelhurst Beach Club,Seattle,WA,US,United States
5148,zzy-222@5x4-48b-47q,Meadowbrook Playfield,Seattle,WA,US,United States
5149,zzy-222@5x4-48b-kxq,Burke Gilman Trail,Seattle,WA,US,United States
5150,zzy-222@5x4-48d-zcq,Raul's Viking Repair Services,Seattle,WA,US,United States
5151,zzy-222@5x4-48f-mx5,Burke Museum Of Natural History And Culture,Seattle,WA,US,United States
5152,zzy-222@5x4-48g-t7q,Grady KitchenAid Repair Master,Seattle,WA,US,United States
5153,zzy-222@5x4-48j-pd9,Bryant Neighborhood Playground,Seattle,WA,US,United States
5154,zzy-222@5x4-49h-rrk,Judkins Park P Patch,Seattle,WA,US,United States
5155,zzy-222@5x4-49j-nnq,Madrona Playground,Seattle,WA,US,United States
5156,zzy-222@5x4-49r-mtv,East Portal Viewpoint,Seattle,WA,US,United States
5157,zzy-222@5x4-49s-2p9,Refrigerator Repair,Seattle,WA,US,United States
5158,zzy-222@5x4-49s-59f,ABC Appliance Service,Seattle,WA,US,United States
5159,zzy-222@5x4-49x-7yv,Roanoke Street Mini Park,Seattle,WA,US,United States
5160,zzy-222@5x4-49z-9j9,East Queen Anne Playground,Seattle,WA,US,United States
5161,zzy-222@5x4-4b2-835,Red Square,Seattle,WA,US,United States
5163,zzy-222@5x4-4b5-nkf,Jack Block Park,Seattle,WA,US,United States
5165,zzy-222@5x4-4fr-9s5,Marvins Garden,Seattle,WA,US,United States
5166,zzy-222@5x4-4fv-xyv,Tanishas Hood Drag Race,Seattle,WA,US,United States
5167,zzy-222@5x4-4fy-x89,Bayview Playground,Seattle,WA,US,United States
5168,zzy-222@5x4-4fz-8n5,Smith Cove,Seattle,WA,US,United States
5169,zzy-222@5x4-4g4-ckf,B F Day Playground,Seattle,WA,US,United States
5170,zzy-222@5x4-4ny-tsq,WorldBest Seattle Viking Range Repair,Seattle,WA,US,United States
5171,zzy-222@5x4-4qf-789,Lakeridge Playfield,Seattle,WA,US,United States
5172,zzy-222@5x4-4r5-54v,Hat n' Boots,Seattle,WA,US,United States
5173,zzy-222@5x4-4tx-r6k,Bar S Playground,Seattle,WA,US,United States
5174,zzy-222@5x4-4vq-c5z,Spokane Street Bridge,Seattle,WA,US,United States
5175,zzy-222@5x4-4vv-m6k,Classic Yacht Association,Seattle,WA,US,United States
5176,zzy-222@5x4-4vy-cqz,York Playground,Seattle,WA,US,United States
5177,zzy-222@5x4-4w7-hwk,Open Water Park,Seattle,WA,US,United States
5178,zzy-222@5x4-4w8-4vz,Magnolia Greenbelt,Seattle,WA,US,United States
8404,zzy-223@5x4-49x-5s5,Darren Sub Zero Repair Master,Seattle,WA,US,United States
8405,zzy-223@5x4-4b3-whq,Wallingford Steps,Seattle,WA,US,United States
8406,zzy-223@5x4-4b4-r8v,Pike Place Market Gum Wall,Seattle,WA,US,United States
8407,zzy-223@5x4-4d9-k4v,Sandel Playground,Seattle,WA,US,United States
8408,zzy-223@5x4-4fr-m49,Ballard Corners Park,Seattle,WA,US,United States
8409,zzy-223@5x4-4r7-3bk,Othello Playground,Seattle,WA,US,United States
8410,zzy-223@5x4-4vr-2tv,Don Armeni Boat Ramp,Seattle,WA,US,United States
9633,zzy-224@5x4-4b5-m49,American Firefighter,Seattle,WA,US,United States
9634,zzy-224@5x4-4b6-s3q,Queen Ann Drive Bridge,Seattle,WA,US,United States
10396,zzy-225@5x4-4b4-vs5,Thomas Street Gardens,Seattle,WA,US,United States
10397,zzy-225@5x4-4vs-tn5,Pot Business Rules For Washington,Seattle,WA,US,United States
10398,zzy-225@5x4-4w7-vzz,Your Choice Appliance Service,Seattle,WA,US,United States
10889,zzy-226@5x4-4b5-t7q,Boylston Place,Seattle,WA,US,United States
11595,zzy-228@5x4-4g4-47q,Edith Macefield's House,Seattle,WA,US,United States
13400,zzy-22p@5x4-4b5-dvz,Giant Shoe Museum,Seattle,WA,US,United States
14961,zzz-222@5x4-47v-dgk,Union Bay Natural Area,Seattle,WA,US,United States
14962,zzz-222@5x4-482-hyv,East Madison Street Ferry Dock,Seattle,WA,US,United States
14963,zzz-222@5x4-482-n3q,Foster Island Wash Park,Seattle,WA,US,United States
14964,zzz-222@5x4-487-835,Maple Leaf Reservoir Park,Seattle,WA,US,United States
14965,zzz-222@5x4-487-xkf,Rainbow Point,Seattle,WA,US,United States
14966,zzz-222@5x4-488-gff,Licton Springs Park,Seattle,WA,US,United States
14967,zzz-222@5x4-489-bkz,Greenwood Park,Seattle,WA,US,United States
14968,zzz-222@5x4-48b-5fz,Nathan Hale Stadium Complex,Seattle,WA,US,United States
14969,zzz-222@5x4-48c-2tv,Matthews Beach,Seattle,WA,US,United States
14970,zzz-222@5x4-48c-3yv,Matthews Beach Park,Seattle,WA,US,United States
14971,zzz-222@5x4-48c-pvz,Hubbard Homestead Park,Seattle,WA,US,United States
14972,zzz-222@5x4-48c-xnq,Pinehurst Pocket Park,Seattle,WA,US,United States
